,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0hh6usshPzFf6j0lGkhMs3,0.71,0.614,5,-17.7,1,0.961,0.987,0.949,0.242,0.342,60.896,16293
1,1LfczmVqfIKzd8nvXuciNx,0.592,0.837,8,-4.341,1,0.17,0.00633,0.0,0.12,0.287,121.897,234187
2,0IyG7WLQATXdS5o5Tk3ZXO,0.382,0.301,5,-6.972,1,0.0319,0.863,0.0,0.13,0.385,134.074,151000
3,0HeWjqONpLAHig0hf1dIgL,0.69,0.58,0,-4.395,1,0.199,0.0328,0.0,0.328,0.708,197.635,177627
4,6toBEs42KExYtyPzlEf4eu,0.547,0.724,2,-4.299,0,0.201,0.0861,0.0,0.354,0.389,86.949,185640
5,18I7HIzT4GwEzp9jJ8KoFe,0.721,0.772,10,-4.506,0,0.19,0.598,0.000204,0.19,0.483,76.928,144956
6,2n7ZgAFCI2F9MtKBq60Ss4,0.661,0.832,1,-5.386,0,0.0979,0.314,8.83e-06,0.319,0.416,96.143,169920
7,1B7qwIcI3gbPS5Mm4CBLjD,0.871,0.845,1,-2.931,1,0.086,0.163,2.94e-06,0.0558,0.681,122.903,155454
8,1CNAp96nVFtzG0L48rDGnZ,0.513,0.737,0,-5.023,0,0.0393,0.0792,7.82e-05,0.108,0.115,138.032,248232
9,5ONDwiSzjziWVwmxRZCen6,0.573,0.551,0,-7.535,1,0.0335,0.0502,0.0,0.124,0.19,129.932,235698
10,5XJWvtPzYIST3qfMiiFsQZ,0.728,0.711,8,-6.498,1,0.242,0.161,3.05e-06,0.137,0.422,101.198,130571
11,11AwO3WYjBnabDK9qiA30B,0.56,0.618,5,-5.175,0,0.232,0.0925,0.0,0.367,0.727,101.119,91960
12,7sm0mCPk9si3MQ8706IrOT,0.426,0.499,11,-8.306,1,0.0599,0.0738,0.0,0.407,0.296,179.83,228890
13,5KA3dYKykvZW5KBEpSTmOL,0.767,0.62,9,-5.406,0,0.0424,0.0893,0.000122,0.267,0.585,124.972,163893
14,4AanOfVKkQKYRe4nbcaVaG,0.833,0.817,11,-4.147,0,0.047,0.248,0.00097,0.0714,0.363,94.974,162013
15,7MBdtBJvyn90mXqTOqI8PA,0.507,0.182,7,-11.166,1,0.0353,0.944,0.00138,0.444,0.394,76.007,62423
16,6iKFebFmd3r98aV2QOS9RG,0.533,0.596,2,-6.185,1,0.0474,0.336,0.0,0.126,0.313,125.937,145000
17,20uXZyneJq8QjX8dPVI4ut,0.858,0.751,7,-5.254,1,0.218,0.0257,0.0439,0.0907,0.169,92.045,102680
18,6nLBl3hzByuZnTC8hUZ46x,0.7,0.3,2,-9.813,1,0.0359,0.672,5.87e-06,0.0706,0.213,125.053,212307
19,37DLwjAM682PZr9a4dJ5VA,0.605,0.647,5,-7.037,1,0.0451,0.429,0.0,0.103,0.0834,91.928,221241
20,09Ax76xrXhUm13zCwkuxiv,0.788,0.536,11,-4.765,1,0.206,0.831,0.0,0.181,0.342,113.013,135704
21,7m12pGA8jpRVQDH7pURUs2,0.654,0.488,9,-6.668,1,0.366,0.0214,1.1e-05,0.133,0.495,147.956,145498
22,7GJVqqE79WOl8ncT7Y4z0L,0.76,0.71,9,-4.984,0,0.0428,0.205,0.0,0.349,0.707,111.957,184196
23,7x8efoIjgyyQGogsHltYFf,0.47,0.327,9,-7.26,0,0.0402,0.897,0.0,0.115,0.296,62.915,222495
24,6eI8B3QW20P68MCYMb4Etd,0.665,0.719,1,-6.897,1,0.0328,0.384,0.0,0.118,0.491,112.473,162224
25,5LYMamLv12UPbemOaTPyeV,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,193813
26,3TPTC8joOVNXHHNFIWPGBC,0.514,0.366,5,-10.796,1,0.316,0.752,0.0194,0.238,0.708,77.16,60857
27,4jqe78JthIpsat99g0D3pk,0.513,0.366,2,-16.961,1,0.0935,0.842,0.0,0.605,0.645,120.538,25387
28,3bDRMfygdJbTDbsdmzc1PP,0.527,0.562,9,-6.623,0,0.0331,0.153,0.0,0.232,0.188,119.861,121053
29,2Xkxoluz9GQnQYAjxXImGG,0.588,0.804,8,-4.443,1,0.0623,0.0341,0.0,0.0845,0.377,145.021,215334
30,2QM5gBm9Q8VZ7UamMIMLb1,0.795,0.553,4,-8.496,0,0.244,0.527,2.84e-06,0.112,0.739,124.109,192288
31,2QWV6LlwgXF0ZIcg4VxkUh,0.871,0.739,1,-4.891,1,0.135,0.00984,1.03e-06,0.183,0.928,127.029,130098
32,3xQTo7wPYHZtFbHAoygz2c,0.717,0.0503,4,-15.204,1,0.606,0.00505,1.41e-06,0.097,0.166,109.916,52062
33,2t4SJrRZrGOEQlNDabywTw,0.707,0.875,8,-3.746,1,0.0606,0.103,0.0,0.144,0.904,94.988,138520
34,6Dz9VvnOr1U8U8MFmioOgY,0.378,0.334,1,-10.993,1,0.304,0.776,0.0,0.115,0.496,181.296,144667
35,3F3PuqGinS2T1ePmjUTw9t,0.476,0.7,0,-5.569,0,0.276,0.429,0.0,0.157,0.625,85.114,233688
36,5qf8lBMF49mfNILgF1TYTG,0.863,0.804,10,-4.346,0,0.0583,0.115,6.56e-05,0.235,0.725,103.042,147813
37,6RCwPJ2mYbapVc62qryGTC,0.817,0.988,8,-6.43,1,0.0637,0.0783,0.671,0.275,0.445,127.994,197813
38,6B5HpxwBFyiBwBUkRT22wR,0.793,0.546,7,-6.738,0,0.0333,0.265,0.000359,0.0784,0.584,115.006,154435
39,3iHzKA9HlXf5wsGdsrsnSA,0.664,0.76,1,-3.769,0,0.0448,0.318,0.0,0.34,0.7,101.987,203667
40,2aYsBCPVZqRMGcS74D6jTS,0.398,0.628,9,-6.225,0,0.317,0.348,0.0,0.171,0.607,82.918,147850
41,1wsyFaNnorpsGPum1FdZZm,0.541,0.518,7,-8.442,0,0.0857,0.305,2.41e-06,0.0987,0.193,146.924,217148
42,4FVeSfpioYQWpHA3OpZZUa,0.578,0.514,2,-7.056,1,0.0289,0.605,0.00134,0.178,0.455,122.822,212250
43,0Qm6Pg4CsoWjzlPLmVbT3U,0.608,0.415,6,-8.58,1,0.0299,0.42,0.0,0.146,0.279,139.902,200571
44,6uUYmvgx6MDIK52vrcELU2,0.64,0.327,7,-4.0,0,0.0303,0.732,0.0,0.11,0.37,88.029,190909
45,2Yc3MHpZ9R5UCIz78E20AQ,0.692,0.633,7,-3.085,0,0.0721,0.039,4.09e-05,0.118,0.319,98.088,90613
46,1NoxZc2x2Y7eX1U5wHj6hr,0.579,0.558,4,-10.443,0,0.0274,0.709,0.738,0.108,0.16,138.015,172844
47,6wM9RyadBplhjWJXfRSKLs,0.749,0.596,9,-5.611,0,0.0433,0.107,0.0,0.08,0.826,139.958,161621
48,0wPKDeY4fZXT6k9bzV0kx0,0.713,0.442,6,-5.909,1,0.0604,0.739,0.0,0.112,0.546,108.038,144934
49,4O6jCUU0Un55TZ9FfZWSJh,0.681,0.626,0,-5.41,1,0.0365,0.00887,5.56e-06,0.0791,0.676,128.036,182085
50,503M75Hh6JciFgZ4xi8XTw,0.756,0.735,7,-6.178,1,0.0668,0.692,0.0,0.0715,0.558,92.028,193125
51,3UaozDmYZ1sDiSiF1u4azI,0.321,0.386,10,-15.333,0,0.197,0.289,0.109,0.34,0.402,144.456,72293
52,6TKtO9kl5eujW026n4drO3,0.888,0.816,1,-6.238,1,0.164,0.0578,1.24e-06,0.023,0.571,121.004,146777
53,6u5eHAZyrSVpyNfY9Dsg2M,0.693,0.713,1,-4.562,0,0.135,0.256,0.0,0.381,0.381,89.031,210813
54,0LKa2IxSRvAwCb7ywTc4YE,0.601,0.909,4,-8.742,0,0.0707,0.0475,0.909,0.115,0.118,122.123,62840
55,2tpK15UgCYuy9uxdOTQ3jK,0.787,0.813,1,-3.264,0,0.0781,0.0256,0.000216,0.0877,0.752,92.018,172347
56,58ove9RPbXPbEjDdw1YNEk,0.641,0.657,0,-6.031,1,0.0334,0.0482,0.0,0.171,0.457,88.025,228818
57,5el1yANyqhFWsjLWGYpcTZ,0.83,0.535,1,-5.223,1,0.282,0.152,0.0,0.181,0.591,84.053,162448
58,63jCeAYGLcRL21xm0jKlgn,0.504,0.203,11,-11.97,1,0.0569,0.652,0.0,0.105,0.274,128.773,175550
59,5fDMDKHhVCpUmAvTPJrYNh,0.771,0.804,9,-4.175,1,0.11,0.194,3.58e-06,0.0781,0.625,93.824,182467
60,6qUAZnGE43hfxjLebVFRHO,0.707,0.52,7,-6.627,0,0.0551,0.321,0.000115,0.161,0.565,80.006,157500
61,43NzwG0mZAAxLXWzSGOlyd,0.834,0.636,4,-7.364,0,0.059,0.156,0.0,0.0715,0.626,99.974,242412
62,0VTmJ6N4TDxR3QeC5d9vXB,0.638,0.572,9,-6.771,1,0.0407,0.00118,0.0204,0.193,0.433,115.999,126265
63,27Dwl7NBaPCwnbm3c6aQDJ,0.447,0.68,7,-6.099,1,0.104,0.133,0.0,0.108,0.229,123.841,153806
64,7Bav9vC5ctdkMythpKostV,0.704,0.853,6,-4.109,0,0.554,0.128,0.0,0.181,0.725,167.789,173960
65,5g8RBUd0BenfKruHPKB0ZP,0.589,0.102,8,-18.015,1,0.147,0.894,0.0,0.24,0.544,117.166,45587
66,4RawnebW4KRrhLNiDQOmGb,0.858,0.811,8,-3.866,0,0.11,0.105,0.00106,0.254,0.742,96.002,193440
67,4GoFt15vBKmQXqB3IfFzy7,0.522,0.472,0,-8.011,0,0.0685,0.416,5.49e-06,0.114,0.256,106.97,216985
68,4drTfZwGTDNrbg3dQ17d0w,0.783,0.404,10,-6.39,1,0.0722,0.447,1.84e-05,0.176,0.476,85.004,203135
69,0TzPcGalV2nb2LqRNDk543,0.576,0.699,1,-8.627,1,0.0586,0.191,1.19e-05,0.168,0.367,89.973,180004
70,7aZ30GAOJ2nYrpnsknNNbg,0.701,0.67,11,-6.453,0,0.105,0.0884,3.44e-05,0.161,0.569,93.889,137253
71,6FH6fmlh9DbvssuEQyQEVd,0.349,0.545,11,-6.073,1,0.0352,0.105,0.0,0.153,0.209,104.477,214100
72,7h3mCPlHYCPuSG93s7M3Xt,0.603,0.358,6,-9.972,0,0.0284,0.808,0.0,0.0801,0.427,95.833,134948
73,4BQQ72HXQh3FvbIP238zlT,0.819,0.627,9,-5.37,0,0.0598,0.145,0.0,0.178,0.515,137.87,159565
74,67Z15tJ3I6ZUOiDMBBX7Eb,0.675,0.356,9,-9.1,1,0.188,0.603,0.000206,0.362,0.339,139.856,188667
75,4YGHPxZbzLFpFQTSFruLzW,0.668,0.424,8,-9.477,1,0.0372,0.583,0.0,0.0771,0.249,123.002,175496
76,5Odeka5MkBqFeABthrtagH,0.712,0.731,6,-6.313,0,0.0402,0.228,0.0,0.372,0.638,92.014,190800
77,6YV2AI87l1n2fzqU8Dyo05,0.402,0.514,1,-7.322,0,0.0471,0.106,0.0,0.181,0.2,120.009,251095
78,5huHKpaQvhWJ4DTLndEjKr,0.708,0.804,4,-6.051,0,0.0283,0.0174,0.00254,0.0833,0.644,137.982,340190
79,0xXcflv5A5PaUV5JMLpBa0,0.516,0.953,4,-5.886,1,0.484,0.541,0.777,0.142,0.963,142.948,25036
80,5V7Gy8FkCKGsVNgvaVssJi,0.638,0.66,9,-4.489,0,0.197,0.0992,0.0,0.107,0.535,169.962,160941
81,57VSdN8FQk5yaV83U7fBXU,0.847,0.805,11,-5.04,0,0.0734,0.197,0.000656,0.105,0.384,140.054,150027
82,74BfFG9qR85KXxN49esFVA,0.493,0.302,5,-12.478,1,0.0289,0.0404,0.834,0.107,0.157,107.425,150667
83,0fx9L2QDi387TQQOVnm91O,0.752,0.904,8,-2.846,1,0.0698,0.0206,0.0,0.0723,0.527,98.034,183787
84,3j9Hr6H4sWOVNSVNlsjCVz,0.613,0.586,8,-4.04,1,0.0643,0.682,0.0,0.217,0.612,79.994,187133
85,0KczE8SbGW4jUrFhKBgfLi,0.471,0.543,0,-5.049,1,0.0304,0.701,0.0,0.0897,0.227,87.048,195886
86,3yqfCfgJiPGXVXXJjDyhdB,0.732,0.791,1,-3.937,0,0.0377,0.00533,0.00075,0.0782,0.361,142.045,142817
87,53UMRr4KOgZP5Ins0aGlhs,0.655,0.572,3,-7.666,0,0.0535,0.646,1.81e-06,0.0774,0.403,137.12,131825
88,7xomBTrSjam1stqLRYhvD0,0.637,0.724,6,-5.614,0,0.0619,0.0805,0.0,0.132,0.37,126.934,186440
89,5CQXesQM39J0CBnY0Npp6S,0.763,0.411,5,-8.339,0,0.211,0.0594,5.35e-05,0.0912,0.461,75.029,133978
90,0V0jxLGonu3pJV6hOl8CSK,0.658,0.632,8,-8.492,1,0.0298,0.748,7.33e-05,0.169,0.464,135.924,194277
91,291cT7iO5eaC3dOHijXpNq,0.791,0.895,6,-4.801,0,0.0479,0.362,0.0,0.0916,0.617,106.535,126827
92,0Ckmi4rrdUWnlg4T9aIGCS,0.382,0.523,9,-8.812,1,0.0618,0.0176,0.0,0.149,0.311,115.398,179913
93,53lzKjlVaL7iyFwp1bphde,0.798,0.778,1,-6.428,1,0.0881,0.0452,0.000116,0.112,0.34,111.955,201795
94,6Jt18cyNzFXYYUUBllm7rZ,0.399,0.93,8,-3.259,1,0.264,0.000742,0.0,0.386,0.453,174.108,239011
95,19CTf8Ej9FbtTmZKhrsUJV,0.683,0.651,6,-12.948,1,0.431,0.627,0.0,0.0954,0.204,150.048,137600
96,78Kl2Yvf2XXEDXGFNXfYIr,0.579,0.308,7,-7.797,0,0.0648,0.707,3.06e-06,0.118,0.206,139.778,199702
97,32sySaZNYdIotrpj9bO4ti,0.843,0.871,8,-2.842,1,0.0725,0.155,0.000213,0.168,0.865,128.017,148444
98,78whTQUB0qWESEYhVJcm4f,0.652,0.728,5,-5.31,0,0.05,0.366,6.76e-05,0.186,0.347,139.976,183215
99,1PtXtGJSDKTkB5urVEZ7rf,0.614,0.74,4,-5.031,0,0.0684,0.179,0.0,0.21,0.247,90.044,219752
100,5Hi5TfyH45YusqxLO7NYIJ,0.473,0.698,4,-13.64,0,0.245,0.475,0.0,0.668,0.817,88.307,72327
101,3VhrDA90e4SGUV2wT9Pr3S,0.743,0.838,2,-5.609,1,0.116,0.328,7.91e-06,0.244,0.521,90.66,236914
102,3IcZbuv0ydGXMfdJeo6iqr,0.667,0.43,9,-8.824,0,0.397,0.127,0.000262,0.0853,0.377,126.027,153960
103,4r4yF6BGAm4oy4MnOYjSjI,0.536,0.367,1,-9.435,1,0.0296,0.699,0.000159,0.131,0.0492,118.004,174187
104,18Tofb0N6XcqD4AIFilZUd,0.825,0.648,5,-8.866,0,0.148,0.19,0.000153,0.11,0.961,160.006,195071
105,6Pw74Nz0wZvGQIu3ccRUeX,0.865,0.637,8,-7.744,1,0.137,0.0297,0.0,0.0777,0.536,104.033,157000
106,69ZzhvHnSSnzMO8SMYEJWb,0.751,0.661,9,-6.131,1,0.0871,0.124,0.0,0.456,0.761,120.052,147481
107,7oduqXpqtHzdjpU2NrAMXb,0.807,0.767,4,-4.764,0,0.313,0.191,1.48e-06,0.0823,0.69,180.092,209600
108,1DPtfQYOFB9IAEk1o4qBmS,0.832,0.569,1,-3.455,0,0.0763,0.0169,3.45e-06,0.183,0.591,100.027,187240
109,5ZpjODX6OH1xZs3AOewTO6,0.745,0.579,1,-5.771,1,0.138,0.0354,0.0118,0.246,0.645,97.002,293947
110,4bswq6hRPqJ56vIpCFBbRZ,0.644,0.437,0,-8.123,1,0.0356,0.572,0.0,0.202,0.667,145.245,180414
111,2M3GwgWQ2Z0swHkap5gWCm,0.53,0.322,1,-10.105,0,0.0532,0.869,1.69e-05,0.355,0.608,85.757,75415
112,1f9WKvj0QH39g4UCjKZVmG,0.917,0.509,2,-8.411,1,0.342,0.292,0.0135,0.109,0.576,93.997,66383
113,1yaEZwbabqGa9BYXIRa0ua,0.494,0.705,10,-4.487,0,0.13,0.384,0.0,0.225,0.133,171.868,210000
114,7DSAEUvxU8FajXtRloy8M0,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600
115,6MkTFseEn2UhjYAowVs9d3,0.881,0.727,11,-4.679,1,0.101,0.0166,0.0,0.135,0.685,98.027,194375
116,7kCDN39QQuuY52Ex1Nbe5y,0.626,0.547,1,-11.642,1,0.953,0.342,0.0,0.353,0.758,74.625,39846
117,74QeUWbmPFJQTgu8Hzym5I,0.701,0.75,9,-8.505,0,0.0745,0.173,0.000209,0.0723,0.686,149.965,165195
118,14oE0VEMMpjXZRH4RbC8lW,0.722,0.63,5,-7.397,0,0.318,0.599,1.28e-05,0.163,0.728,93.142,105161
119,6end0etAvMxWeSGwCwk1gR,0.808,0.552,6,-10.1,0,0.0622,0.253,8.14e-06,0.105,0.827,94.971,126632
120,0G9vVO54iCyJwWth6nrDFT,0.85,0.428,1,-8.576,0,0.46,0.678,0.0,0.135,0.588,117.93,151750
121,06Ai8dZD0uzErNjvGSu3Q4,0.77,0.706,7,-4.602,1,0.0417,0.0436,0.0,0.158,0.548,95.001,156632
122,0VJDKFCfJJyA8CgMd2Cygj,0.492,0.359,2,-8.538,1,0.0364,0.744,0.0,0.379,0.283,167.279,197500
123,3ZIEG7syiY1lRmxwGm0xRH,0.668,0.857,1,-4.485,1,0.0994,0.0202,0.0,0.047,0.718,93.01,206539
124,3PsHulD1zewglcTPcEPnlk,0.609,0.343,5,-7.93,1,0.0285,0.709,0.0,0.102,0.262,81.923,196261
125,0DsIoA5io9H9ViOl2YNLcR,0.508,0.661,1,-3.166,0,0.128,0.0111,0.0,0.315,0.699,79.603,172500
126,3JqEamRw9aUvTKIhPXne9J,0.644,0.309,8,-9.493,1,0.0299,0.737,0.0,0.111,0.172,121.886,166916
127,7z0gvrbNudxiGUJ3mga5XL,0.656,0.476,10,-9.33,1,0.0524,0.495,0.0,0.161,0.547,126.963,194000
128,6hb25BscksBk4bZiEH6hEl,0.505,0.688,2,-7.593,0,0.427,0.659,1.13e-06,0.876,0.292,102.206,209563
129,10MB5BRNILT229BsnB2oRU,0.746,0.778,1,-4.146,1,0.0454,0.00506,1.4e-05,0.109,0.411,91.972,243913
